timestamp,open,high,low,close,volume
1575244800000,7420.53,7442.62,7193.09,7320.94,184009273.34
1575331200000,7320.94,7420.34,7260.93,7313.64,135997337.7
1575417600000,7313.64,7764.68,7110.76,7207.78,360525572.36999995
1575504000000,7207.78,7492.96,7175.85,7406.75,220875659.78000006
1575590400000,7406.75,7607.79,7323.86,7558.58,209851296.56
1575676800000,7558.58,7640.51,7503.1,7514.86,106572219.76999998
1575763200000,7514.86,7594.8,7414.51,7539.7,120000308.77999999
1575849600000,7539.7,7667.04,7296.42,7350.62,262161330.43
1575936000000,7350.62,7403.64,7176.42,7233.84,170419385.86
1576022400000,7233.84,7284.74,7167.13,7212.01,143267855.42
1576108800000,7212.01,7307.96,7105.35,7199.39,201666958.30999994
1576195200000,7199.39,7308.08,7199.39,7261.72,135777984.58999997
1576281600000,7261.72,7283.78,7033.14,7080.29,111796861.40999998
1576368000000,7080.29,7204.93,7030.37,7132.39,113742866.16999999
1576454400000,7132.39,7172.46,6869.19,6897.33,278223344.11
1576540800000,6897.33,6948.12,6585.46,6635.84,310739632.43
1576627200000,6635.84,7442.26,6450.69,7294.53,491429584.43999994
1576713600000,7294.53,7376.98,7057.66,7159.26,249541907.14999998
1576800000000,7159.26,7234.56,7094.06,7203.41,168963964.58
1576886400000,7203.41,7213.86,7132.82,7159.47,86864836.50999999
1576972800000,7159.47,7527.4,7143.17,7517.58,200586646.53
1577059200000,7517.58,7694.65,7275.28,7326.6,336425000.05999994
1577145600000,7326.6,7429.42,7175.5,7260.91,203013413.87
1577232000000,7260.91,7280.52,7132.3,7202.72,108513256.35999997
1577318400000,7202.72,7442.21,7167.44,7207.23,169067214.27000004
1577404800000,7207.23,7267.46,7061.61,7253.82,183588691.22999996
1577491200000,7253.82,7368.09,7253.61,7316.23,106581355.24000001
1577577600000,7316.23,7540.65,7295.33,7399.49,135257936.55
1577664000000,7399.49,7414.07,7224.79,7234.44,168180498.64999998
1577750400000,7234.44,7325.24,7141.94,7183.88,140384995.26
1577836800000,7183.88,7267.16,7171.82,7189.94,85986188.10000001
1577923200000,7189.94,7224.84,6945.83,6965.72,187393954.34000003
1578009600000,6965.72,7407.11,6882.62,7339.7,376690440.3600001
1578096000000,7339.7,7405.75,7278.6,7357.5,162106895.04000002
